payload_size,samples,min_us,max_us,mean_us,stddev_us,p50_us,p95_us,p99_us
8,5000,11.00,44.00,21.21,3.37,20.00,31.00,31.00
648,5000,15.00,75.00,31.53,6.21,32.00,42.00,43.00
1288,5000,26.00,93.00,37.04,3.62,36.00,44.00,46.00
1928,5000,25.00,95.00,41.94,3.92,42.00,47.00,49.00
2568,5000,33.00,101.00,49.64,4.10,52.00,54.00,55.00
3208,5000,36.00,90.00,49.08,4.29,47.00,56.00,58.00
3848,5000,37.00,105.00,56.49,2.47,57.00,59.00,61.00
4488,5000,36.00,112.00,55.95,4.72,58.00,62.00,64.00
5128,5000,39.00,139.00,58.47,5.65,60.00,65.00,67.00
5768,5000,53.00,144.00,66.44,2.37,67.00,68.00,71.00
6408,5000,52.00,122.00,65.55,4.68,65.00,71.00,73.00
7048,5000,51.00,110.00,68.47,4.26,68.00,74.00,77.00
7688,5000,59.00,151.00,76.74,2.30,77.00,78.00,80.00
